size, mean, variance, stdDev, stdErr
10, 0.0011119, 1.6995429000000006E-7, 4.1225512731802384E-4, 4.122551273180238E-5
20, 7.411999999999999E-4, 1.9482760000000125E-8, 1.3958065768579874E-4, 1.3958065768579873E-5
30, 3.1360000000000003E-4, 7.304639999999976E-9, 8.546718668588534E-5, 8.546718668588533E-6
40, 6.842E-4, 1.9505559999999823E-8, 1.3966230701230672E-4, 1.3966230701230673E-5
50, 8.267999999999999E-4, 2.3515560000000082E-8, 1.5334783989349207E-4, 1.533478398934921E-5
60, 0.0011119, 7.33328999999997E-9, 8.563463084523673E-5, 8.563463084523672E-6
70, 0.0014826, 1.2984840000000194E-8, 1.1395104211897403E-4, 1.1395104211897404E-5
80, 0.0018246000000000002, 1.9414439999999205E-8, 1.3933570970859984E-4, 1.3933570970859983E-5
90, 0.0022237, 1.3076009999999087E-8, 1.1435038259664499E-4, 1.1435038259664498E-5
100, 0.0025659999999999997, 3.3881317890172014E-21, 5.820766091346741E-11, 5.820766091346741E-12
200, 0.0077833, 9.437978099999971E-7, 9.714925681650875E-4, 9.714925681650875E-5
300, 0.0096936, 1.6245240000000577E-8, 1.2745681621631924E-4, 1.2745681621631924E-5
400, 0.0133714, 2.3606639999989437E-8, 1.5364452479665338E-4, 1.536445247966534E-5
500, 0.0169066, 1.704023999991389E-8, 1.3053827025019863E-4, 1.3053827025019863E-5
600, 0.020926499999999997, 1.0759322500001364E-6, 0.0010372715411116496, 1.0372715411116496E-4
700, 0.0252886, 3.5856143999995864E-7, 5.987999999999654E-4, 5.987999999999655E-5
800, 0.027911699999999994, 4.6258081000036515E-7, 6.80132935535668E-4, 6.80132935535668E-5
900, 0.0314754, 8.489812399999682E-7, 9.214017798984156E-4, 9.214017798984156E-5
1000, 0.0349821, 7.97034089999784E-7, 8.927676573441625E-4, 8.927676573441625E-5
2000, 0.0716178, 7.767756159999736E-6, 0.0027870694573332282, 2.787069457333228E-4
3000, 0.1064006, 1.801303040000271E-6, 0.0013421263129826011, 1.3421263129826012E-4
4000, 0.1423235, 2.2889494500008545E-6, 0.0015129274437331271, 1.5129274437331272E-4
