size, mean, variance, stdDev, stdErr
1000, 0.0011461100000000018, 7.610949578999869E-7, 8.724075641006254E-4, 8.724075641006254E-7
2000, 0.0018607255000000404, 1.2670596861496087E-6, 0.0011256374576876912, 5.628187288438456E-7
3000, 0.0026050850000000855, 3.6972384077747133E-6, 0.0019228204304548861, 6.409401434849621E-7
4000, 0.0035841745000000464, 5.2735539860491766E-6, 0.002296421996508738, 5.741054991271844E-7
5000, 0.004373880600000006, 7.120752490743537E-6, 0.002668473813014386, 5.336947626028772E-7
6000, 0.004973764833333241, 1.0531483677532641E-5, 0.003245224749926057, 5.408707916543428E-7
7000, 0.006047446428571261, 1.8706235591990198E-5, 0.004325070588093355, 6.178672268704792E-7
8000, 0.007593684374999669, 5.1047421410763816E-5, 0.007144747819955846, 8.930934774944808E-7
9000, 0.008549039999999519, 9.389135805352446E-5, 0.009689755314430002, 1.0766394793811114E-6
10000, 0.008661403499999092, 3.587238341011088E-5, 0.005989355842668799, 5.9893558426688E-7
15000, 0.012798945866665929, 7.675049744951455E-5, 0.008760736124864997, 5.840490749909998E-7
20000, 0.017316564099999675, 1.7565398569503293E-4, 0.013253451840748241, 6.626725920374121E-7
25000, 0.02018656515999984, 2.5549427825412936E-4, 0.015984188382715255, 6.393675353086103E-7
30000, 0.025712697733336724, 4.0587763184751107E-4, 0.020146404936055243, 6.715468312018415E-7
35000, 0.030594927514290944, 5.141099100337485E-4, 0.02267399192982454, 6.478283408521297E-7
40000, 0.03399722737500136, 5.414212566042871E-4, 0.023268460555100914, 5.817115138775229E-7
45000, 0.03695727011110941, 5.762254420797472E-4, 0.02400469625052038, 5.334376944560084E-7
50000, 0.03906547273999507, 5.863672894754447E-4, 0.024215021979660575, 4.843004395932114E-7
