size, mean, variance, stdDev, stdErr
1000, 3.355719999999967E-4, 2.940563681599992E-8, 1.714807184962785E-4, 1.7148071849627852E-7
2000, 3.7177299999998823E-4, 1.9715439471004707E-8, 1.4041167854208106E-4, 7.020583927104054E-8
3000, 3.741493333333306E-4, 2.2445786366219333E-8, 1.498191788998302E-4, 4.99397262999434E-8
4000, 3.8453150000001743E-4, 4.861787250774734E-8, 2.2049460879519785E-4, 5.5123652198799466E-8
5000, 4.0359040000002383E-4, 5.605957582783596E-8, 2.367690347740514E-4, 4.735380695481028E-8
6000, 4.3221683333332457E-4, 3.0189096149993664E-8, 1.7375009683448715E-4, 2.8958349472414523E-8
7000, 4.7404528571426863E-4, 5.184292037780062E-8, 2.2769040466783097E-4, 3.2527200666832996E-8
8000, 4.6788949999998784E-4, 2.686981903976778E-8, 1.6392016056534286E-4, 2.0490020070667856E-8
9000, 9.92062222222182E-4, 2.833256240332095E-4, 0.016832279228708436, 1.8702532476342706E-6
10000, 5.719432999999646E-4, 2.774718212885271E-6, 0.0016657485443143183, 1.6657485443143183E-7
15000, 5.941929333332171E-4, 7.298178064367961E-8, 2.701514031865828E-4, 1.8010093545772187E-8
20000, 6.979311499998748E-4, 9.44275979097507E-8, 3.07290738405424E-4, 1.5364536920271198E-8
25000, 8.059304400001215E-4, 7.90313540801194E-7, 8.88995804715182E-4, 3.555983218860728E-8
30000, 8.817666333335746E-4, 3.4830287297271025E-7, 5.901719012056659E-4, 1.967239670685553E-8
35000, 9.89209285714491E-4, 1.0249738313712674E-6, 0.0010124099127187898, 2.8925997506251138E-8
40000, 0.0010928938500004155, 1.1690145871824435E-6, 0.001081209779451908, 2.70302444862977E-8
45000, 0.0011736191333335244, 5.833630122534054E-7, 7.637820449928143E-4, 1.697293433317365E-8
50000, 0.0012727629000001631, 1.1755561960030948E-6, 0.00108423069316594, 2.16846138633188E-8
